4246.3397 	EXP 	text_2: text = ' День космотавтики отмечают во всем'
4246.3397 	EXP 	DemoInstr: autoDraw = True
4246.3397 	EXP 	Label: autoDraw = True
4246.3397 	EXP 	text_2: color = 'black'
4246.3397 	EXP 	Label: color = 'black'
4246.3397 	EXP 	Label: text = ''
4246.3397 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4246.3397 	EXP 	text_2: autoDraw = True
4246.3397 	EXP 	Label: autoDraw = True
4246.3397 	EXP 	sentenceCounter: autoDraw = True
4247.8222 	DATA 	Keypress: right
4247.8565 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире,'
4247.8565 	EXP 	DemoInstr: autoDraw = True
4247.8565 	EXP 	Label: autoDraw = True
4247.8565 	EXP 	text_2: color = 'black'
4247.8565 	EXP 	Label: color = 'black'
4247.8565 	EXP 	Label: text = ''
4247.8565 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4247.8565 	EXP 	text_2: autoDraw = True
4247.8565 	EXP 	Label: autoDraw = True
4247.8565 	EXP 	sentenceCounter: autoDraw = True
4248.2381 	DATA 	Keypress: right
4248.2733 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире, но'
4248.2733 	EXP 	DemoInstr: autoDraw = True
4248.2733 	EXP 	Label: autoDraw = True
4248.2733 	EXP 	text_2: color = 'black'
4248.2733 	EXP 	Label: color = 'black'
4248.2733 	EXP 	Label: text = ''
4248.2733 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4248.2733 	EXP 	text_2: autoDraw = True
4248.2733 	EXP 	Label: autoDraw = True
4248.2733 	EXP 	sentenceCounter: autoDraw = True
4248.6252 	DATA 	Keypress: right
4248.6591 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире, но для'
4248.6591 	EXP 	DemoInstr: autoDraw = True
4248.6591 	EXP 	Label: autoDraw = True
4248.6591 	EXP 	text_2: color = 'black'
4248.6591 	EXP 	Label: color = 'black'
4248.6591 	EXP 	Label: text = ''
4248.6591 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4248.6591 	EXP 	text_2: autoDraw = True
4248.6591 	EXP 	Label: autoDraw = True
4248.6591 	EXP 	sentenceCounter: autoDraw = True
4249.0550 	DATA 	Keypress: right
4249.0914 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире, но для нас'
4249.0914 	EXP 	DemoInstr: autoDraw = True
4249.0914 	EXP 	Label: autoDraw = True
4249.0914 	EXP 	text_2: color = 'black'
4249.0914 	EXP 	Label: color = 'black'
4249.0914 	EXP 	Label: text = ''
4249.0914 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4249.0914 	EXP 	text_2: autoDraw = True
4249.0914 	EXP 	Label: autoDraw = True
4249.0914 	EXP 	sentenceCounter: autoDraw = True
4249.5165 	DATA 	Keypress: right
4249.5566 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире, но для нас он'
4249.5566 	EXP 	DemoInstr: autoDraw = True
4249.5566 	EXP 	Label: autoDraw = True
4249.5566 	EXP 	text_2: color = 'black'
4249.5566 	EXP 	Label: color = 'black'
4249.5566 	EXP 	Label: text = ''
4249.5566 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4249.5566 	EXP 	text_2: autoDraw = True
4249.5566 	EXP 	Label: autoDraw = True
4249.5566 	EXP 	sentenceCounter: autoDraw = True
4250.2697 	DATA 	Keypress: right
4250.3066 	EXP 	text_2: text = ' День космотавтики отмечают во всем мире, но для нас он имеет'
4250.3066 	EXP 	DemoInstr: autoDraw = True
4250.3066 	EXP 	Label: autoDraw = True
4250.3066 	EXP 	text_2: color = 'black'
4250.3066 	EXP 	Label: color = 'black'
4250.3066 	EXP 	Label: text = ''
4250.3066 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4250.3066 	EXP 	text_2: autoDraw = True
4250.3066 	EXP 	Label: autoDraw = True
4250.3066 	EXP 	sentenceCounter: autoDraw = True
